PROJ_ID,LET_DT,CNTY,ITEM_NO,ITEM_DESC,UNIT,QTY,ENG_EST_UNIT_PR,BIDDER,BID_RANK,UNIT_PR,EXT_AMT,BID_TOTAL
0676350,2026-03-10,Barnwell,1031000,MOBILIZATION,LS,1.0,0.0,"BLYTHE CONSTRUCTION, INC.",1,16500.0,16500.0,337288.86
0676350,2026-03-10,Barnwell,1032010,BONDS AND INSURANCE,LS,1.0,0.0,"BLYTHE CONSTRUCTION, INC.",1,800.0,800.0,337288.86
0676350,2026-03-10,Barnwell,2033000,BORROW EXCAVATION,CY,248.0,0.0,"BLYTHE CONSTRUCTION, INC.",1,107.15,26573.2,337288.86
0676350,2026-03-10,Barnwell,3059900,MAINTENANCE STONE,TON,2.9,0.0,"BLYTHE CONSTRUCTION, INC.",1,46.5,134.85,337288.86
0676350,2026-03-10,Barnwell,4011004,LIQUID ASPHALT BINDER PG64-22,TON,106.468,0.0,"BLYTHE CONSTRUCTION, INC.",1,660.0,70268.88,337288.86
0676350,2026-03-10,Barnwell,4012040,"FULL DEPTH ASPH. PAV. PATCHING 4"" UNIF.",SY,290.0,0.0,"BLYTHE CONSTRUCTION, INC.",1,56.4,16356.0,337288.86
0676350,2026-03-10,Barnwell,4013990,MILLING EXISTING ASPHALT PAVEMENT (VARIABLE),SY,900.0,0.0,"BLYTHE CONSTRUCTION, INC.",1,10.0,9000.0,337288.86
0676350,2026-03-10,Barnwell,4040350,ASPHALT SURFACE COURSE TYPE D,TON,1497.32,0.0,"BLYTHE CONSTRUCTION, INC.",1,93.9,140598.35,337288.86
0676350,2026-03-10,Barnwell,4047230,DRIVEWAY PAVING-SURFACE TYPE D,TON,140.625,0.0,"BLYTHE CONSTRUCTION, INC.",1,231.0,32484.38,337288.86
0676350,2026-03-10,Barnwell,6011000,TRAFFIC CONTROL,LS,1.0,0.0,"BLYTHE CONSTRUCTION, INC.",1,14950.0,14950.0,337288.86
0676350,2026-03-10,Barnwell,6051120,PERMANENT CONSTRUCTION SIGNS (GROUND MOUNTED),SF,312.0,0.0,"BLYTHE CONSTRUCTION, INC.",1,6.1,1903.2,337288.86
0676350,2026-03-10,Barnwell,6240025,"24"" WHITE SOLID LINES (STOP/DIAGONAL LINES)-FAST DRY PAINT",LF,200.0,0.0,"BLYTHE CONSTRUCTION, INC.",1,2.0,400.0,337288.86
0676350,2026-03-10,Barnwell,6251025,"24"" WHITE SOLID LINES (STOP/DIAG LINES)-PERM.PVMT.MARKING",LF,100.0,0.0,"BLYTHE CONSTRUCTION, INC.",1,15.0,1500.0,337288.86
0676350,2026-03-10,Barnwell,6301100,"PERMANENT YELLOW PAVEMENT MARKERS BI-DIR.- 4""X4""",EA,86.0,0.0,"BLYTHE CONSTRUCTION, INC.",1,10.0,860.0,337288.86
0676350,2026-03-10,Barnwell,8100102,PERMANENT GRASSING FOR NON-PERMITTED RESURFACING PROJECTS,ACRE,1.24,0.0,"BLYTHE CONSTRUCTION, INC.",1,4000.0,4960.0,337288.86
0676350,2026-03-10,Barnwell,1031000,MOBILIZATION,LS,1.0,0.0,"SATTERFIELD CONSTRUCTION COMPANY, INC.",2,33500.0,33500.0,434673.77
0676350,2026-03-10,Barnwell,1032010,BONDS AND INSURANCE,LS,1.0,0.0,"SATTERFIELD CONSTRUCTION COMPANY, INC.",2,4000.0,4000.0,434673.77
0676350,2026-03-10,Barnwell,2033000,BORROW EXCAVATION,CY,248.0,0.0,"SATTERFIELD CONSTRUCTION COMPANY, INC.",2,80.0,19840.0,434673.77
0676350,2026-03-10,Barnwell,3059900,MAINTENANCE STONE,TON,2.9,0.0,"SATTERFIELD CONSTRUCTION COMPANY, INC.",2,56.0,162.4,434673.77
0676350,2026-03-10,Barnwell,4011004,LIQUID ASPHALT BINDER PG64-22,TON,106.468,0.0,"SATTERFIELD CONSTRUCTION COMPANY, INC.",2,674.0,71759.43,434673.77
0676350,2026-03-10,Barnwell,4012040,"FULL DEPTH ASPH. PAV. PATCHING 4"" UNIF.",SY,290.0,0.0,"SATTERFIELD CONSTRUCTION COMPANY, INC.",2,92.0,26680.0,434673.77
0676350,2026-03-10,Barnwell,4013990,MILLING EXISTING ASPHALT PAVEMENT (VARIABLE),SY,900.0,0.0,"SATTERFIELD CONSTRUCTION COMPANY, INC.",2,11.0,9900.0,434673.77
0676350,2026-03-10,Barnwell,4040350,ASPHALT SURFACE COURSE TYPE D,TON,1497.32,0.0,"SATTERFIELD CONSTRUCTION COMPANY, INC.",2,122.0,182673.04,434673.77
0676350,2026-03-10,Barnwell,4047230,DRIVEWAY PAVING-SURFACE TYPE D,TON,140.625,0.0,"SATTERFIELD CONSTRUCTION COMPANY, INC.",2,260.0,36562.5,434673.77
0676350,2026-03-10,Barnwell,6011000,TRAFFIC CONTROL,LS,1.0,0.0,"SATTERFIELD CONSTRUCTION COMPANY, INC.",2,40000.0,40000.0,434673.77
0676350,2026-03-10,Barnwell,6051120,PERMANENT CONSTRUCTION SIGNS (GROUND MOUNTED),SF,312.0,0.0,"SATTERFIELD CONSTRUCTION COMPANY, INC.",2,6.6,2059.2,434673.77
0676350,2026-03-10,Barnwell,6240025,"24"" WHITE SOLID LINES (STOP/DIAGONAL LINES)-FAST DRY PAINT",LF,200.0,0.0,"SATTERFIELD CONSTRUCTION COMPANY, INC.",2,2.2,440.0,434673.77
0676350,2026-03-10,Barnwell,6251025,"24"" WHITE SOLID LINES (STOP/DIAG LINES)-PERM.PVMT.MARKING",LF,100.0,0.0,"SATTERFIELD CONSTRUCTION COMPANY, INC.",2,16.5,1650.0,434673.77
0676350,2026-03-10,Barnwell,6301100,"PERMANENT YELLOW PAVEMENT MARKERS BI-DIR.- 4""X4""",EA,86.0,0.0,"SATTERFIELD CONSTRUCTION COMPANY, INC.",2,11.0,946.0,434673.77
0676350,2026-03-10,Barnwell,8100102,PERMANENT GRASSING FOR NON-PERMITTED RESURFACING PROJECTS,ACRE,1.24,0.0,"SATTERFIELD CONSTRUCTION COMPANY, INC.",2,3630.0,4501.2,434673.77
0676350,2026-03-10,Barnwell,1031000,MOBILIZATION,LS,1.0,0.0,PALMETTO CORP. OF CONWAY,3,26500.0,26500.0,536544.51
0676350,2026-03-10,Barnwell,1032010,BONDS AND INSURANCE,LS,1.0,0.0,PALMETTO CORP. OF CONWAY,3,10000.0,10000.0,536544.51
0676350,2026-03-10,Barnwell,2033000,BORROW EXCAVATION,CY,248.0,0.0,PALMETTO CORP. OF CONWAY,3,99.25,24614.0,536544.51
